dataset,model,training,d,coord_corr,ks_d,tq_r10,pq_r10,bh_r10,gap_closed
eurosat,dinov2,self-distillation,768,0.1317,0.1702,0.9433,0.9598,0.6541,94.6
eurosat,remoteclip,contrastive (CLIP),512,0.2053,0.7082,0.9115,0.9607,0.6067,86.1
eurosat,georsclip,contrastive (CLIP),768,0.1898,0.8434,0.8822,0.9645,0.5759,78.8
eurosat,mae_base,MAE (ImageNet),768,0.5095,0.2872,0.8592,0.9532,0.1785,87.9
eurosat,ssl4eo,MAE (RS),768,0.2929,0.7376,0.8335,0.9685,0.6086,62.5
eurosat,prithvi,MAE (RS),768,0.6286,0.7758,0.7794,0.9607,0.4515,64.4
bigearthnet,dinov2,self-distillation,768,0.2529,0.4499,0.9003,0.9473,0.4828,89.9
bigearthnet,remoteclip,contrastive (CLIP),512,0.2147,0.5511,0.8781,0.9444,0.4726,85.9
bigearthnet,georsclip,contrastive (CLIP),768,0.2474,0.8493,0.8297,0.9501,0.4472,76.1
bigearthnet,ssl4eo,MAE (RS),768,0.3449,0.8464,0.7702,0.9548,0.4678,62.1
bigearthnet,mae_base,MAE (ImageNet),768,0.5211,0.3601,0.7372,0.9346,0.1284,75.5
bigearthnet,prithvi,MAE (RS),768,0.6628,0.7296,0.5721,0.9245,0.2728,45.9
